idx,code,pos,school,rom_n,rom_c,rom_f,mat_n,mat_c,mat_f,mat_lang,mat_lang_n,mat_lang_c,mat_lang_f,media
1079,SB13048047,1079,ŞCOALA GIMNAZIALĂ NR. 1 SIBIU,8.20,-,-,7.55,-,-,-,-,-,-,7.87
1080,SB9474793,1080,"ŞCOALA GIMNAZIALĂ ""AUREL DECEI"" GURA RÂULUI",8.20,-,-,7.55,-,-,-,-,-,-,7.87
1081,SB10321521,1081,"ŞCOALA GIMNAZIALĂ ""CONSTANTIN IOAN MOTAŞ"" MEDIAŞ",8.15,-,-,7.60,-,-,-,-,-,-,7.87
1082,SB10116988,1082,ŞCOALA GIMNAZIALĂ NR. 18 SIBIU,8.05,-,-,7.70,-,-,-,-,-,-,7.87
1083,SB10600357,1083,"COLEGIUL NAȚIONAL ""GHEORGHE LAZĂR"" SIBIU",8.00,-,-,7.75,-,-,-,-,-,-,7.87
1084,SB9674938,1084,"ŞCOALA GIMNAZIALĂ ""IOAN SLAVICI"" SIBIU",8.00,-,-,7.75,-,-,-,-,-,-,7.87
1085,SB10049239,1085,"ŞCOALA GIMNAZIALĂ ""MIHAI EMINESCU"" MEDIAŞ",7.95,-,-,7.80,-,-,-,-,-,-,7.87
1086,SB9005323,1086,"ŞCOALA GIMNAZIALĂ ""MIHAI VITEAZU"" ŞELIMBĂR",7.90,-,-,7.85,-,-,-,-,-,-,7.87
1087,SB13099729,1087,"COLEGIUL NAȚIONAL PEDAGOGIC ""ANDREI ŞAGUNA"" SIBIU",7.85,-,-,7.90,-,-,-,-,-,-,7.87
1088,SB10088767,1088,ŞCOALA GIMNAZIALĂ NR. 7 MEDIAŞ,7.75,-,-,8.00,-,-,-,-,-,-,7.87
1089,SB10351317,1089,ŞCOALA GIMNAZIALĂ NR. 21 SIBIU,7.60,-,-,8.15,-,-,-,-,-,-,7.87
1090,SB10077591,1090,"ŞCOALA GIMNAZIALĂ ""NICOLAE IORGA"" SIBIU",7.50,-,-,8.25,-,-,-,-,-,-,7.87
